Player,Team,Age,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,AB3_FGM,AB3_FGA,AB3_FG%
CAMILLE SMITH,SEA,25,2.3,3.8,60.2,0.9,2.1,41.7,0.3,1.0,28.6,0.0,0.1,50.0,0.0,0.0,0.0,0.2,0.8,23.1
CANDACE PARKER,LAS,24,3.4,5.3,63.9,0.8,2.2,38.9,0.8,2.4,33.9,0.0,0.0,100,0.0,0.1,0.0,0.2,0.9,18.2
CANDICE DUPREE,CHI,25,2.9,5.3,54.4,1.1,2.7,42.9,1.3,4.2,30.1,0.0,0.1,50.0,0.1,0.1,100,0.7,1.9,36.2
CANDICE WIGGINS,MIN,23,1.8,3.6,49.2,0.6,1.8,34.4,0.4,1.4,26.1,0.3,0.7,41.2,0.1,0.7,14.3,1.1,3.3,32.7
CAPPIE PONDEXTER,PHO,27,2.1,3.9,53.4,1.0,2.3,44.2,2.5,5.2,47.5,0.3,0.4,66.7,0.2,0.3,66.7,1.0,3.0,32.4
CATHRINE KRAAYEVELD,NYL,28,0.9,1.9,43.9,0.1,0.5,31.3,0.3,1.1,28.9,0.0,0.1,0.0,0.1,0.4,20.0,1.7,3.9,43.9
CHAMIQUE HOLDSCLAW,ATL,32,1.6,3.0,51.3,0.7,1.4,52.9,2.8,7.2,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.6,20.0
CHANTE BLACK,CON,24,0.8,1.4,60.9,0.1,0.5,14.3,0.2,0.9,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
CHARDE HOUSTON,MIN,24,2.3,4.0,57.7,1.6,3.6,46.3,0.5,1.4,34.7,0.1,0.1,50.0,0.0,0.2,0.0,0.7,2.0,33.8
CHASITY MELVIN,WAS,34,2.0,4.0,50.0,0.4,0.8,46.2,0.1,0.7,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHELSEA NEWTON,SEA,27,0.4,0.9,50.0,0.2,0.4,62.5,0.3,1.3,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,33.3
CHEN NAN,CHI,27,0.7,1.2,54.8,0.6,1.2,51.6,0.5,1.3,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHERYL FORD,DET,29,2.6,4.9,53.1,0.3,1.3,26.3,0.4,1.5,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
CHRISTI THOMAS,MIN,27,0.0,0.5,0.0,0.1,0.4,25.0,0.0,0.5,0.0,0.0,0.0,0.0,-,-,-,0.0,1.2,0.0
CHRISTINA WIRTH,IND,23,0.1,0.2,50.0,0.0,0.2,0.0,0.0,0.4,11.1,0.2,0.3,66.7,0.3,0.3,100,0.2,0.8,20.0
COCO MILLER,ATL,31,0.4,0.6,66.7,0.2,0.5,31.3,0.7,1.7,39.7,0.0,0.1,0.0,0.3,0.5,50.0,0.3,0.9,29.2
COURTNEY PARIS,CHI,22,1.7,2.7,61.1,0.4,1.2,31.6,0.0,0.1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
CRYSTAL KELLY,DET,23,0.5,0.9,50.0,0.2,0.5,35.3,0.3,0.9,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
CRYSTAL LANGHORNE,WAS,23,3.5,5.4,65.6,0.3,0.9,36.7,0.9,2.0,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
DELISHA MILTON-JONES,LAS,35,1.6,2.6,62.8,0.4,1.2,34.1,1.1,3.4,32.7,0.2,0.6,31.3,0.0,0.0,0.0,0.6,2.0,28.8
DEMYA WALKER,CON,32,2.2,3.9,55.6,0.9,2.0,43.5,0.4,1.4,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEWANNA BONNER,PHO,22,2.7,4.8,56.7,0.5,1.5,32.7,0.4,1.4,29.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,16.7
DEANNA NOLAN,DET,30,1.5,2.8,51.1,0.5,1.3,35.7,3.4,8.1,41.7,0.2,0.8,28.6,0.1,0.3,16.7,1.0,2.9,35.1
DIANA TAURASI,PHO,28,2.0,3.0,67.7,0.5,1.3,41.0,1.3,3.4,38.7,0.1,0.3,33.3,0.1,0.2,66.7,2.4,5.6,41.7
DOMINIQUE CANTY,CHI,33,1.1,2.6,43.8,0.1,0.5,13.3,0.9,2.3,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,40.0
EBONY HOFFMAN,IND,27,1.5,3.1,48.1,0.3,1.0,33.3,1.0,3.0,33.7,0.1,0.2,50.0,0.1,0.3,50.0,0.6,2.0,32.3
EDWIGE LAWSON-WADE,SAN,31,0.2,0.4,53.8,0.1,0.3,44.4,0.2,0.5,37.5,0.2,0.2,100,0.4,0.9,46.2,0.9,2.9,32.3
ERICA WHITE,IND,23,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
ERIKA DE SOUZA,ATL,28,4.1,6.6,61.8,0.6,1.9,30.8,0.3,0.9,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERIN PERPEROGLOU,SAN,31,0.6,1.5,40.4,0.0,0.2,0.0,0.1,0.4,21.4,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.8,35.0
ERIN PHILLIPS,CON,25,0.7,1.3,48.8,0.3,0.6,47.4,0.7,1.5,46.8,0.3,0.9,33.3,0.3,1.0,27.8,0.7,2.4,28.4
ERIN THORN,CHI,29,0.2,0.3,60.0,0.2,0.5,29.4,0.7,1.5,47.1,0.3,0.7,35.0,0.3,0.7,50.0,0.8,2.0,40.0
ERLANA LARKINS,NYL,24,0.6,1.2,52.4,0.2,0.6,33.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESSENCE CARSON,NYL,23,1.6,3.0,52.5,0.6,1.5,40.0,0.7,2.0,35.3,0.3,0.7,40.0,0.1,0.4,37.5,0.7,2.2,31.1
HAMCHETOU MAIGA-BA,SAC,32,1.9,3.0,61.8,0.5,1.2,40.5,1.3,3.2,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
HELEN DARLING,SAN,31,0.3,0.7,40.0,0.0,0.5,0.0,0.1,0.7,16.0,0.0,0.4,0.0,0.1,0.4,33.3,0.4,1.1,35.5
IVORY LATTA,ATL,25,0.6,1.2,53.6,0.2,0.5,41.7,0.3,0.8,35.0,0.0,0.0,0.0,0.2,0.5,33.3,0.9,2.4,36.2
IZIANE CASTRO MARQUES,ATL,28,1.8,3.1,57.1,0.6,1.8,35.0,1.6,4.1,39.1,0.1,0.2,50.0,0.2,0.4,50.0,1.4,4.1,33.6
JANEL MCCARVILLE,NYL,27,2.8,5.1,54.3,1.0,1.7,58.5,1.0,2.6,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,33.3
JANELL BURSE,SEA,31,1.6,2.5,63.5,0.2,0.7,29.2,0.4,1.1,36.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JENNIFER LACY,ATL,27,0.6,1.3,50.0,0.1,0.6,15.8,0.3,0.9,27.6,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.7,23.5
JESSICA DAVENPORT,IND,25,0.8,1.2,66.7,0.3,0.6,41.7,0.2,0.5,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JESSICA MOORE,IND,27,1.1,1.9,58.3,0.0,0.3,0.0,0.6,1.5,41.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JIA PERKINS,CHI,28,1.4,2.8,49.0,0.9,1.9,48.5,1.4,4.1,35.3,0.1,0.2,50.0,0.1,0.1,50.0,0.8,2.3,37.5
K.B. SHARP,CHI,29,0.3,0.6,56.3,0.0,0.2,0.0,0.3,0.7,42.1,0.0,0.0,0.0,0.1,0.3,50.0,0.3,0.8,35.7
KARA BRAXTON,DET,27,2.8,4.7,60.3,0.8,1.6,50.0,0.2,0.9,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KARA LAWSON,SAC,29,0.4,0.7,52.9,0.2,0.5,46.2,1.0,2.4,40.0,0.1,0.4,20.0,0.1,0.3,33.3,1.4,4.0,35.0
KATIE DOUGLAS,IND,31,2.1,3.6,58.9,0.2,1.0,19.4,1.6,4.0,39.2,0.2,0.5,46.2,0.2,0.7,27.3,1.7,5.2,33.8
KATIE GEARLDS,SEA,25,0.2,0.2,75.0,0.0,0.2,0.0,0.3,0.7,35.7,0.7,1.2,57.1,0.0,0.3,0.0,0.9,2.4,38.6
KATIE MATTERA,CHI,27,0.5,0.7,70.0,0.5,0.9,54.5,0.2,0.3,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KATIE SMITH,DET,36,0.1,0.5,21.4,0.3,0.6,43.8,2.3,4.9,46.2,0.0,0.1,33.3,0.1,0.3,33.3,2.0,4.7,43.7
KELLY MAZZANTE,PHO,28,0.0,0.1,50.0,0.0,0.0,0.0,0.1,0.3,44.4,0.3,0.6,45.5,0.3,0.8,33.3,0.8,2.4,33.8
KELLY MILLER,MIN,31,0.3,0.8,37.0,0.1,0.4,35.7,0.5,1.2,40.5,0.2,0.4,50.0,0.1,0.3,33.3,0.5,1.7,30.9
KELLY SCHUMACHER,DET,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,0.0,0.0
KERRI GARDIN,CON,26,1.3,2.4,53.8,0.0,0.2,0.0,0.2,1.0,14.7,0.2,0.5,41.7,0.2,0.5,37.5,0.1,0.8,11.1
KETIA SWANIER,PHO,23,0.4,0.9,44.8,0.1,0.3,20.0,0.2,0.5,43.8,0.2,0.3,75.0,0.1,0.2,50.0,0.3,1.0,28.0
KHADIJAH WHITTINGTON,IND,23,0.7,1.0,66.7,0.7,0.7,100,0.7,1.7,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIA VAUGHN,NYL,23,1.4,2.1,65.8,0.6,1.4,42.2,0.2,0.8,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
KIESHA BROWN,CON,31,0.3,0.6,57.9,0.2,0.4,46.2,0.4,1.1,32.4,0.1,0.3,50.0,0.0,0.1,0.0,0.6,1.8,33.3
KRISTEN MANN,WAS,26,0.2,0.2,100,0.0,0.3,0.0,0.2,0.3,75.0,0.1,0.3,50.0,0.0,0.2,0.0,0.2,1.2,20.0
KRISTI CIRONE,CON,23,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.3,0.8,33.3
KRISTI HARROWER,LAS,35,0.6,1.1,52.9,0.3,0.6,44.4,0.2,0.6,30.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3,1.3,21.6
KRISTI TOLIVER,CHI,23,0.2,0.3,85.7,0.2,0.3,44.4,0.8,2.0,41.5,0.1,0.3,16.7,0.1,0.1,100,1.5,3.3,45.8
KRISTIN HAYNIE,WAS,27,0.4,0.8,54.2,0.1,0.2,40.0,0.3,1.1,32.3,0.0,0.0,0.0,0.0,0.1,0.0,0.4,1.2,30.8
LA'TANGELA ATKINSON,SEA,26,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
LATOYA SANDERS,MIN,23,0.4,0.7,50.0,0.2,0.4,42.9,0.2,0.6,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAURA HARPER,SAN,24,1.2,2.5,47.6,0.2,0.8,19.2,0.0,0.2,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAUREN ERVIN,CON,25,0.6,1.3,50.0,0.1,0.1,100,0.3,0.8,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAUREN JACKSON,SEA,29,2.2,3.3,66.3,1.2,3.0,38.5,1.2,3.3,37.6,0.0,0.1,0.0,0.1,0.1,100,1.8,4.3,43.2
LE'COE WILLINGHAM,PHO,29,3.3,5.6,58.9,0.6,1.3,43.2,0.1,0.4,33.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,14.3
LEILANI MITCHELL,NYL,25,0.3,0.9,32.3,0.0,0.1,0.0,0.2,0.4,42.9,0.1,0.3,33.3,0.4,0.8,50.0,0.2,1.2,17.6
LINDSAY WHALEN,CON,28,1.8,3.2,55.6,0.3,0.8,40.7,1.4,3.2,43.6,0.0,0.0,0.0,0.0,0.3,14.3,0.7,2.4,28.8
LINDSAY WISDOM-HYLTON,LAS,24,0.6,1.0,58.6,0.3,0.7,41.2,0.1,0.5,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,100
LINDSEY HARDING,WAS,26,1.9,3.8,50.8,0.6,1.9,33.3,1.6,3.4,47.0,0.0,0.1,50.0,0.0,0.0,0.0,0.6,1.8,32.2
LISA LESLIE,LAS,37,3.5,5.4,64.0,1.3,2.9,46.3,1.4,3.5,40.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,20.0
LISA WILLIS,SAC,26,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0,1.0,0.0
LOREE MOORE,NYL,27,1.0,1.7,56.9,0.1,0.5,11.8,0.5,1.7,29.3,0.2,0.4,45.5,0.0,0.2,20.0,0.6,2.5,23.8
MARIE FERDINAND-HARRIS,LAS,31,0.9,1.4,64.1,0.0,0.3,0.0,1.1,2.4,44.6,0.1,0.3,20.0,0.0,0.2,0.0,0.2,0.8,20.0
MARISSA COLEMAN,WAS,23,0.4,0.7,52.6,0.1,0.5,15.4,0.5,1.7,27.7,0.3,0.8,31.3,0.2,0.6,36.4,0.7,2.0,37.7
MATEE AJAVON,WAS,24,0.6,1.9,30.8,0.3,0.9,33.3,0.8,2.2,35.5,0.0,0.5,9.1,0.2,0.4,50.0,0.8,2.0,37.5
MEGAN FRAZEE,SAN,23,0.5,1.3,40.5,0.3,0.8,40.0,0.6,1.2,46.9,0.0,0.0,0.0,0.0,0.3,0.0,0.6,1.5,40.0
MICHELLE SNOW,ATL,30,1.0,1.6,61.8,0.5,1.2,45.0,0.4,1.3,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
MISTIE BASS,CHI,26,1.6,2.3,72.2,0.3,0.6,40.0,0.6,1.8,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
MONIQUE CURRIE,WAS,27,0.9,1.9,43.9,0.3,1.1,27.0,0.6,1.8,30.6,0.1,0.4,33.3,0.2,0.4,40.0,0.5,1.2,39.5
NAKIA SANFORD,WAS,34,1.8,3.6,49.6,0.4,0.8,46.2,0.1,0.5,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NICKY ANOSIKE,MIN,24,3.3,5.4,60.9,0.7,1.9,35.1,0.4,1.4,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25.0
NICOLE OHLDE,PHO,28,1.2,2.0,58.1,0.5,0.8,62.5,0.1,0.6,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NICOLE POWELL,SAC,28,1.2,2.1,57.5,0.9,1.9,50.8,1.4,3.8,36.7,0.1,0.2,40.0,0.2,0.8,25.0,2.1,5.6,37.6
NIKKI BLUE,WAS,26,0.1,0.3,25.0,0.1,0.4,25.0,0.1,0.4,28.6,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.9,37.5
NIKKI TEASLEY,DET,31,0.1,0.2,40.0,0.2,0.2,100,0.1,0.6,25.0,0.0,0.2,0.0,0.3,0.4,66.7,0.8,2.1,36.6
NOELLE QUINN,LAS,25,1.1,1.7,67.2,0.5,0.9,58.1,1.0,2.3,43.6,0.1,0.5,25.0,0.1,0.2,60.0,0.5,1.7,30.5
OLAYINKA SANNI,DET,24,1.1,1.8,61.4,0.3,0.9,28.0,0.2,0.5,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PENNY TAYLOR,PHO,29,1.9,3.1,59.1,0.6,2.0,32.1,0.4,0.8,45.5,0.2,0.5,40.0,0.1,0.3,50.0,0.5,1.4,38.9
PLENETTE PIERSON,DET,28,0.0,1.0,0.0,-,-,-,0.0,1.0,0.0,-,-,-,-,-,-,-,-,-
QUANITRA HOLLINGSWORTH,MIN,21,1.1,2.2,49.3,0.3,0.9,31.3,0.1,0.4,23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASHANDA MCCANTS,MIN,23,0.8,1.7,47.5,0.1,0.6,22.7,0.4,0.9,38.7,0.1,0.4,33.3,0.0,0.0,0.0,0.3,1.2,28.1
REBEKKAH BRUNSON,MIN,28,3.1,5.4,58.6,0.7,1.8,37.5,0.8,2.3,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
RENEE MONTGOMERY,MIN,23,0.9,1.7,54.2,0.3,0.8,38.5,0.5,1.3,40.9,0.1,0.1,50.0,0.1,0.3,50.0,1.2,3.5,34.8
RONEEKA HODGES,MIN,27,0.9,1.3,65.9,0.2,0.6,31.6,0.4,1.3,28.6,0.6,1.2,46.2,0.7,1.1,60.0,1.5,4.1,37.0
RUTH RILEY,SAN,30,0.8,1.2,67.6,0.3,0.8,41.7,0.9,2.2,42.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,22.2
SANCHO LYTTLE,ATL,26,2.4,3.5,68.3,1.2,2.3,50.6,1.8,4.8,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANDRINE GRUDA,CON,23,1.8,3.7,49.0,1.0,2.2,48.2,3.0,6.6,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHOLANDA DORRELL,DET,27,1.4,2.9,48.0,0.2,0.8,21.4,0.5,1.2,42.5,0.1,0.2,40.0,0.2,0.4,50.0,0.1,0.6,21.4
SEIMONE AUGUSTUS,MIN,26,1.5,2.5,60.0,1.3,3.0,44.4,3.8,6.5,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.3,64.3
SHALEE LEHNING,ATL,23,0.7,1.1,60.5,0.1,0.4,28.6,0.1,0.3,27.3,0.0,0.1,0.0,0.1,0.3,50.0,0.2,1.0,18.5
SHAMEKA CHRISTON,NYL,28,1.1,1.7,64.2,0.3,0.9,30.0,1.0,3.0,34.4,0.5,0.9,54.2,0.0,0.2,20.0,2.0,5.5,36.6
SHANNA ZOLMAN,SAN,26,0.1,0.2,50.0,0.2,0.3,60.0,0.6,1.2,45.5,0.3,0.6,50.0,0.3,0.5,50.0,1.1,2.6,44.4
SHANNON BOBBITT,LAS,24,0.3,0.8,35.7,0.2,0.3,55.6,0.1,0.3,27.3,0.1,0.2,66.7,0.2,0.4,50.0,0.2,1.3,13.3
SHANNON JOHNSON,SEA,35,0.3,0.6,50.0,0.2,0.2,75.0,0.1,0.5,11.1,0.1,0.2,66.7,0.2,0.5,33.3,0.5,1.8,27.8
SHAVONTE ZELLOUS,DET,23,1.0,1.9,50.0,0.3,0.7,40.0,1.8,4.6,38.2,0.3,0.5,63.6,0.1,0.2,33.3,0.2,1.2,20.0
SHAY MURPHY,IND,25,0.7,1.5,44.4,0.1,0.2,50.0,0.2,0.7,29.4,0.2,0.6,28.6,0.0,0.6,0.0,0.6,1.4,47.4
SHERILL BAKER,DET,27,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,0.0,0.0,0.0
SHYRA ELY-GASH,CHI,26,1.0,2.2,46.1,0.4,0.8,48.0,0.4,1.2,35.0,0.1,0.1,50.0,0.1,0.4,20.0,0.8,1.9,39.6
SIDNEY SPENCER,NYL,25,0.0,0.1,25.0,0.0,0.0,100,0.3,0.8,38.5,0.0,0.5,9.1,0.0,0.2,0.0,0.8,1.8,47.7
SOPHIA YOUNG-MALCOLM,SAN,26,3.2,5.5,56.8,1.4,2.9,46.4,1.6,4.5,36.1,0.0,0.1,0.0,0.0,0.3,0.0,0.6,1.8,35.4
SUE BIRD,SEA,29,0.9,1.4,64.3,0.8,1.4,56.8,1.5,4.5,34.0,0.1,0.5,20.0,0.1,0.2,50.0,1.6,4.5,37.0
SUZY BATKOVIC-BROWN,SEA,29,0.3,0.6,54.5,0.5,0.9,53.3,0.2,0.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.1,27.3
SWIN CASH,SEA,30,2.0,4.0,50.4,1.1,2.8,38.5,0.9,3.3,27.9,0.0,0.1,0.0,0.0,0.1,0.0,0.3,0.9,35.7
SYLVIA FOWLES,CHI,24,3.8,5.8,65.0,0.2,0.6,28.6,0.3,0.8,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAJ MCWILLIAMS-FRANKLIN,DET,39,1.8,2.8,63.5,0.5,1.2,40.5,1.7,3.8,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.5,20.0
TAMECKA DIXON,IND,34,0.5,0.9,50.0,0.0,0.4,9.1,1.1,2.6,42.7,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.3,50.0
TAMERA YOUNG,CHI,23,0.7,1.2,56.0,0.2,0.9,23.5,0.2,0.9,22.2,0.2,0.3,66.7,0.0,0.7,0.0,0.1,0.6,16.7
TAMIKA CATCHINGS,IND,30,2.1,3.8,56.6,0.3,0.9,31.3,0.9,3.6,26.2,0.3,0.5,53.3,0.2,0.5,30.0,0.8,2.8,30.1
TAMIKA WHITMORE,CON,33,0.5,1.2,42.9,0.2,0.9,19.0,0.6,2.3,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.2,30.4
TAMMY SUTTON-BROWN,IND,32,2.7,5.4,50.3,0.4,0.7,52.6,0.4,1.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAN WHITE,CON,27,0.9,1.7,54.0,0.2,0.6,35.3,0.5,1.7,30.0,0.3,1.0,30.0,0.3,0.7,45.5,1.3,3.3,38.4
TANGELA SMITH,PHO,33,1.1,1.7,61.0,0.4,1.0,39.4,1.3,3.4,37.4,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.7,46.2
TANISHA WRIGHT,SEA,26,2.2,3.5,64.9,0.8,1.9,44.4,1.2,3.5,34.2,0.0,0.2,25.0,0.1,0.1,100,0.2,0.9,24.0
TASHA HUMPHREY,MIN,24,0.6,1.0,58.6,0.2,0.9,23.8,0.6,1.6,40.0,0.0,0.0,0.0,0.0,0.6,0.0,0.9,2.7,32.8
